Date,reference,target
15-01-2010,12,12
15-02-2010,18,18
15-03-2010,22,22
15-04-2010,26,26
15-05-2010,31,
15-06-2010,38,
15-07-2010,45,45
15-08-2010,43,43
15-09-2010,35,
15-10-2010,29,29
15-11-2010,21,
15-12-2010,17,17
15-01-2011,13.30675372,13.30675372
15-02-2011,18.53138409,18.53138409
15-03-2011,21.67186069,21.67186069
15-04-2011,23.78725416,23.78725416
15-05-2011,30.91189864,30.91189864
15-06-2011,37.15999,37.15999
15-07-2011,43.73682629,
15-08-2011,44.3042355,44.3042355
15-09-2011,33.23921539,33.23921539
15-10-2011,27.34412473,27.34412473
15-11-2011,18.60720864,18.60720864
15-12-2011,15.19215436,15.19215436
15-01-2012,14.64619815,14.64619815
15-02-2012,18.83252183,18.83252183
15-03-2012,22.95472685,22.95472685
15-04-2012,22.12795984,22.12795984
15-05-2012,32.99352215,32.99352215
15-06-2012,37.10818026,37.10818026
15-07-2012,42.70025927,
15-08-2012,43.81519088,43.81519088
15-09-2012,31.98363369,
15-10-2012,25.02547686,25.02547686
15-11-2012,20.8645677,
15-12-2012,13.30182875,13.30182875
15-01-2013,13.07575159,13.07575159
15-02-2013,18.69444655,18.69444655
15-03-2013,21.09832083,21.09832083
15-04-2013,24.45910407,
15-05-2013,30.6010652,30.6010652
15-06-2013,38.02855904,38.02855904
15-07-2013,43.30195659,43.30195659
15-08-2013,41.3196428,41.3196428
15-09-2013,29.81706996,
15-10-2013,26.33812486,26.33812486
15-11-2013,19.74819938,19.74819938
15-12-2013,10.96612033,10.96612033
15-01-2014,12.77476363,12.77476363
15-02-2014,19.7008231,19.7008231
15-03-2014,20.0347926,20.0347926
15-04-2014,22.36990709,22.36990709
15-05-2014,30.03415543,
15-06-2014,36.27194673,36.27194673
15-07-2014,44.09391551,
15-08-2014,41.85476182,41.85476182
15-09-2014,27.87006954,
15-10-2014,25.33929086,25.33929086
15-11-2014,18.58933399,18.58933399
15-12-2014,10.94737919,10.94737919
15-01-2015,14.96183707,14.96183707
15-02-2015,19.67497346,19.67497346
15-03-2015,21.33939479,21.33939479
15-04-2015,23.98900008,23.98900008
15-05-2015,29.05689751,29.05689751
15-06-2015,38.53068851,38.53068851
15-07-2015,46.45767913,46.45767913
15-08-2015,43.37081947,
15-09-2015,30.32322517,
15-10-2015,27.7404482,27.7404482
15-11-2015,20.34573255,20.34573255
15-12-2015,9.524127342,9.524127342
15-01-2016,17.2794903,
15-02-2016,17.8533477,17.8533477
15-03-2016,23.18167316,23.18167316
15-04-2016,23.25698255,23.25698255
15-05-2016,27.197024,27.197024
15-06-2016,38.39275305,38.39275305
15-07-2016,44.09324355,44.09324355
15-08-2016,45.49862357,45.49862357
15-09-2016,31.23981861,
15-10-2016,26.27324156,26.27324156
15-11-2016,19.95030856,
15-12-2016,7.942505513,7.942505513
15-01-2017,17.60406768,17.60406768
15-02-2017,18.19383133,
15-03-2017,22.06338211,
15-04-2017,25.71711077,25.71711077
15-05-2017,27.24794897,27.24794897
15-06-2017,37.75628474,37.75628474
15-07-2017,45.14036167,
15-08-2017,44.5502806,44.5502806
15-09-2017,31.09908801,31.09908801
15-10-2017,26.80392567,26.80392567
15-11-2017,21.05475906,21.05475906
15-12-2017,6.412375052,6.5
